iter	Passed	Remaining
0	1	190
1	3	165
2	5	165
3	6	153
4	7	150
5	9	145
6	10	142
7	12	139
8	13	138
9	15	136
10	16	135
11	18	134
12	19	133
13	21	131
14	23	131
15	24	128
16	26	127
17	27	127
18	29	125
19	31	125
20	32	124
21	34	122
22	36	121
23	37	120
24	39	118
25	41	116
26	42	115
27	44	114
28	45	112
29	47	111
30	49	110
31	50	108
32	52	106
33	54	105
34	55	103
35	57	102
36	59	100
37	60	98
38	62	97
39	63	95
40	65	93
41	66	91
42	67	89
43	69	87
44	70	86
45	72	84
46	74	83
47	75	82
48	77	80
49	79	79
50	80	77
51	82	75
52	83	74
53	85	72
54	86	70
55	87	69
56	89	67
57	90	65
58	92	64
59	93	62
60	95	61
61	97	59
62	98	57
63	100	56
64	101	54
65	103	53
66	105	51
67	106	50
68	108	48
69	109	47
70	111	45
71	112	43
72	114	42
73	115	40
74	117	39
75	118	37
76	120	35
77	122	34
78	123	32
79	124	31
80	126	29
81	128	28
82	129	26
83	131	24
84	132	23
85	134	21
86	135	20
87	137	18
88	138	17
89	140	15
90	141	14
91	143	12
92	144	10
93	146	9
94	148	7
95	149	6
96	151	4
97	152	3
98	153	1
99	155	0
